code,slug,compound,beds,ical_url,blocked_ranges
A27-6,A27-6,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/A27-6.ics,1
A29-4,A29-4,Gaia,,https://mohamedmaged3002-droid.github.io/soul-ical/A29-4.ics,1
A61-4,A61-4,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/A61-4.ics,1
A72-4,A72-4,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/A72-4.ics,1
B-65,B-65,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/B-65.ics,1
B-CH20-02-04,B-CH20-02-04,Sokhna,2 Bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/B-CH20-02-04.ics,0
B1-c2b,B1-c2b,Hacienda west & D-bay,cabin,https://mohamedmaged3002-droid.github.io/soul-ical/B1-c2b.ics,1
B1-CH20-02-04,B1-CH20-02-04,Sokhna,2 Bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/B1-CH20-02-04.ics,0
B1-SC-12C,B1-SC-12C,Hacienda west & D-bay,2 BEEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/B1-SC-12C.ics,0
B1-SC-12D,B1-SC-12D,Hacienda west & D-bay,2 BEEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/B1-SC-12D.ics,0
B2-ch40-01-02,B2-ch40-01-02,Sokhna,1 bedroom,https://mohamedmaged3002-droid.github.io/soul-ical/B2-ch40-01-02.ics,0
B2-CH5-G02,B2-CH5-G02,Sokhna,3 bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/B2-CH5-G02.ics,1
B3-CH18-G01,B3-CH18-G01,Sokhna,3 bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/B3-CH18-G01.ics,1
B3-CH75-02-02,B3-CH75-02-02,Sokhna,3 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/B3-CH75-02-02.ics,0
B3-CH75-G01,B3-CH75-G01,Sokhna,3 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/B3-CH75-G01.ics,0
b3-ch84-02-01,b3-ch84-02-01,Sokhna,3 bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/b3-ch84-02-01.ics,1
c1-CH20-02-02,c1-CH20-02-02,Sokhna,1 BED ROOM,https://mohamedmaged3002-droid.github.io/soul-ical/c1-CH20-02-02.ics,1
C2-CH19-G01,C2-CH19-G01,Sokhna,3 Bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/C2-CH19-G01.ics,1
C2-ch26-01-03,C2-ch26-01-03,Sokhna,1 bed,https://mohamedmaged3002-droid.github.io/soul-ical/C2-ch26-01-03.ics,1
c2-ch28-02-01,c2-ch28-02-01,Sokhna,2 bedroom,https://mohamedmaged3002-droid.github.io/soul-ical/c2-ch28-02-01.ics,1
c2-ch34-01-01,c2-ch34-01-01,Sokhna,,https://mohamedmaged3002-droid.github.io/soul-ical/c2-ch34-01-01.ics,1
C3-CH1-01-01,C3-CH1-01-01,Sokhna,3 bedrooms,https://mohamedmaged3002-droid.github.io/soul-ical/C3-CH1-01-01.ics,0
Ch24-G01,Ch24-G01,Sokhna,3 Bedrooms + nanny,https://mohamedmaged3002-droid.github.io/soul-ical/Ch24-G01.ics,0
CL1-34-02,CL1-34-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL1-34-02.ics,0
CL1-37-01,CL1-37-01,Foukabay,3+nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL1-37-01.ics,3
CL1-TW42-3,CL1-TW42-3,Foukabay,3 bed  Town,https://mohamedmaged3002-droid.github.io/soul-ical/CL1-TW42-3.ics,3
CL10-11A-G,CL10-11A-G,Foukabay,3 bed Ground,https://mohamedmaged3002-droid.github.io/soul-ical/CL10-11A-G.ics,3
cl10-12b-03,cl10-12b-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl10-12b-03.ics,3
CL10-14A-G,CL10-14A-G,Foukabay,3 bed Ground,https://mohamedmaged3002-droid.github.io/soul-ical/CL10-14A-G.ics,2
CL10-15A-03,CL10-15A-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL10-15A-03.ics,1
CL10-21B-03,CL10-21B-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL10-21B-03.ics,3
CL10-CH11B-02,CL10-CH11B-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL10-CH11B-02.ics,0
cl10-ch13b-02,cl10-ch13b-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl10-ch13b-02.ics,0
CL11-15A-03,CL11-15A-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL11-15A-03.ics,0
Cl11-16-03,Cl11-16-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/Cl11-16-03.ics,0
CL11-16B-02,CL11-16B-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL11-16B-02.ics,1
Cl11-18b-G,Cl11-18b-G,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/Cl11-18b-G.ics,3
CL11-20A-01,CL11-20A-01,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL11-20A-01.ics,3
CL11-21-BG,CL11-21-BG,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL11-21-BG.ics,3
cl11-8a-02,cl11-8a-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-8a-02.ics,5
cl11-ch13-02,cl11-ch13-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-ch13-02.ics,1
cl11-ch13-ag,cl11-ch13-ag,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-ch13-ag.ics,5
cl11-ch13a-03,cl11-ch13a-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-ch13a-03.ics,0
Cl11-CH8A-G,Cl11-CH8A-G,Foukabay,3bed,https://mohamedmaged3002-droid.github.io/soul-ical/Cl11-CH8A-G.ics,4
cl11-ch9b-02,cl11-ch9b-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-ch9b-02.ics,1
CL2-CH8-01,CL2-CH8-01,Foukabay,3 + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL2-CH8-01.ics,4
CL3-26-g01,CL3-26-g01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL3-26-g01.ics,4
CL3-27-g01,CL3-27-g01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL3-27-g01.ics,4
Cl3-TW4-AX,Cl3-TW4-AX,Foukabay,2Bed 1st floor + garden,https://mohamedmaged3002-droid.github.io/soul-ical/Cl3-TW4-AX.ics,3
CL4-16-02,CL4-16-02,Foukabay,3+1,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-16-02.ics,4
CL4-16-03,CL4-16-03,Foukabay,3bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-16-03.ics,4
